Target System	Query	Consistent	Sogou Relevance	Target System Relevance	SBS	ERR Sogou	ERR Target System
haosou	0002:49天之同人	P=M=	0|0|0|2|0	0|0|0|0|0	0	0.05	0.0
haosou	0006:中国新歌声主题曲	P>M=	3|0|2|2|2	0|3|2|0|2	1	0.4794	0.2592
haosou	0017:金贝辛格	P>M=	4|3|2|4|3	3|3|4|4|4	1	0.7309	0.6205
haosou	0019:长江水文网	P=M>	5|2|3|2|0	5|2|2|2|0	0	0.8461	0.8371
haosou	0020:梦见失去工作	P>M<	2.5|4|3|4|3	3|3|4|0|4	1	0.5176	0.6093
haosou	0023:笃字的拼音	P=M<	4.5|4|3.5|2|2.5	4.5|4|4|2|4	0	0.7492	0.7613
haosou	0024:天气预报济南	P=M<	3|3|4|4|3	4|4|4|3|4	0	0.6182	0.763
haosou	0030:腾讯电脑管家	P=M<	4|3|3|4|2	4|4|2|3|4	0	0.7359	0.7527
haosou	0033:note7国行爆炸	P=M>	4|4|4|3|3	4|3|3|3|3	0	0.7615	0.7333
haosou	0034:海马s5	P=M>	4.5|4.5|3|3|3	4.5|3.5|3.5|3|3	0	0.7555	0.7333
haosou	0042:韩剧步步惊心丽	P>M=	4.5|3|3|2|3	4.5|3|3|2|3	1	0.7284	0.7284
haosou	0043:我的世界籽岷	P<M>	4|4|3.5|2|2	4.5|3|3|2|3	-1	0.7492	0.7284
